english	chinese
Part of the roof blew off.	屋頂有一部分被刮走了。
I want my umbrella back.	我想拿回我的雨傘。
He died recently.	他最近去世了。
I would like to have a cup of coffee.	我想要一杯咖啡。
What're you so nervous about?	是什么让你这么紧张？
I like to watch baseball games.	我喜歡看棒球比賽。
She wears a lot of makeup.	她化着浓妆。
You're too kind.	你真好。
There were only six people at the party.	只有六個人參加了派對。
Please come in.	請進來。
This book is yours.	這本書是你的。
The snow will melt when the sun comes out.	太阳一出来，雪就会融化。
He sang some old songs.	他唱了些老歌。
Keep searching.	繼續搜尋。
Some things are better left undone.	有些事不做更好。
I'll telephone you every night.	我每晚都給你打電話。
She made room for an old lady.	她讓出個空間給一位老太太。
Swimming strengthens the legs.	游泳使腿部强健。
The two men were business partners.	这两个男人是生意上的合作伙伴。
Where was it published?	它发表在哪里？
We can't tell which is better.	我们无法辨别哪个更好。
I will teach you to play chess.	我會教你下棋。
Biting your fingernails is a bad habit.	咬指甲是个坏习惯。
I always keep a dictionary close at hand.	我总是在离手不远的地方放一本字典。
She has achieved her goals.	她达到了目标。
My father caught three fish yesterday.	昨天我爸爸抓到了3条鱼。
Tom told me he'd been careless.	湯姆告訴我他一直很粗心。
He has three older sisters.	他有三个姐姐。
The horse is a useful animal.	马是种很有用的动物。
Everyone has strengths and weaknesses.	每个人都有他的长处和短处。
I ripped the envelope open.	我撕开了信封。
Freedom is very, very important.	自由非常非常重要。
Have you seen all these movies?	你把這些電影全看了嗎？
What a strong wind!	多麼強的風啊！
Sir, you have left your lighter on the table.	先生，您把您的打火机留在桌子上了。
I'm feeling fit.	我覺得精神很好。
Is Tom swimming?	汤姆在游泳吗？
The car crashed into the truck.	汽車撞上了卡車。
I want to go for a swim.	我想去游泳。
It's too loud.	它太大聲。
I've just finished breakfast.	我剛吃完了早飯。
How's business?	生意怎么样？
The baby cried all night.	這孩子哭了一整夜。
I need that as soon as possible.	我尽可能快地需要那个。
Smoking is strictly prohibited.	严禁吸烟。
He is sure to succeed.	他一定会成功。
Tom wrote his name in the sand with a stick.	汤姆用棍子在沙上写了他的名字。
There are many fish in this lake.	這個湖裡有很多魚。
He knows New York inside out.	他对纽约了如指掌。
That's exactly what I've been telling Tom.	那就是我告诉汤姆的。
Water poured from the broken pipe.	水從破裂的水管傾瀉而出。
I'm not your mother.	我不是你母親。
I will wait until she comes.	我会等到她来。
Let's have a few drinks tonight.	讓我們今晚喝幾杯。
They'll understand that.	他們會明白。
Have you had lunch yet?	你吃過午飯了嗎？
My friends won't talk to me anymore.	朋友們再也不和我說話了。
Just a minute, please.	请稍等一下。
I waited half an hour for my friend, but he didn't turn up.	我等了我朋友半個小時，但是他還是沒出現。
"I'll be back," said Tom.	“我会回来，”汤姆说。
Nobody's sitting here.	这个座位没人。
Let me do this for you.	让我为你做这件事！
He has been sick for a week.	他病了一星期。
He told me to be kind to others.	他叫我对别人好一点。
I was uncertain whether to advance or to retreat.	我不确定该前进还是后退。
There isn't anyone in the room.	沒有人在房間裡。
Let me know.	讓我知道。
It's no use your begging him for help.	你求他帮忙没有用。
Thanks for coming, Tom.	感谢你的到来，汤姆。
Who does this suitcase belong to?	這個手提箱是誰的?
Is this your book?	這是你的書嗎？
We adopted a child.	我们收养了一个孩子。
How much money did you spend in Boston?	你在波士顿花了多少钱？
What have you come here for?	你为什么来这儿？
Sydney is the largest city in Australia.	悉尼是澳大利亞最大的城市。
They tried very hard to gain an advantage over one another.	他們很努力地超過對方獲得優勢。
There are many beautiful parks in London.	伦敦有很多漂亮的公园。
Do you plan to eat all of that yourself?	你打算自己一人把它全部吃了吗？
May I pay with a credit card?	我能用信用卡支付吗？
The dolphin and trainer communicated much better than we expected.	海豚和驯养员交流得比我们所期望的好得多。
What's going on with Tom?	汤姆出什么事了？
Did you hear my son play the violin?	您听见我儿子拉小提琴了吗？
Do you have a dictionary?	你有字典嗎？
I shouldn't have done it.	我本不应该做的。
I was trying to kill time.	我试着消磨时间。
The dog was hit by a car.	狗被車撞了。
I think that Tom really likes Mary.	我看湯姆真心喜歡瑪麗。
Why can't we have pizza?	为什么我们不能要比萨？
Will you be here tomorrow?	你明天在这里吗？
I don't have time to meet up with you.	我没时间跟您碰头。
I'm very happy.	我很快乐。
Our team won the game.	我們這隊贏得了比賽。
He forgot to turn off the light.	他忘了關燈。
It is going to rain soon.	天快要下雨了。
I write letters.	我寫字母。
Sit beside me.	坐我旁边。
I'll get some help.	我会需要帮助。
Every time I read the Bible, I am deeply moved.	每次我读圣经都会被深深地感动。
I'm more interested in spoken English.	我對口語英語更感興趣。
Can you drive a manual transmission?	你會開手排車嗎?
Don't let that happen again!	不要再让这种事发生了！
What did Tom collect?	湯姆蒐集了什麼？
He presented her with a doll.	他送她一個洋娃娃。
Our school is fifty years old.	我們學校有五十年的歷史了。
Right at that instant, the bus stopped.	正好那个时候，公交车停下来了。
The mirror was shattered.	镜子被摔碎了。
What have you done with my bag?	你用我的袋子做了什麼？
He appears to be strong and healthy.	他看起来健康强壮。
We didn't pay.	我們沒有付錢。
He made his way to the room.	他走進了房間。
Is Tom there already?	汤姆已经在那里了吗？
How long does it take to walk to the station?	走着去火车站要多久？
I can understand you to some extent.	在某種程度上我能了解你。
Will the train leave on time?	這班火車會準時出發嗎？
I'm here to assist you.	我來協助你。
She does nothing but complain.	她什麼都不做只會抱怨。
You may not come in.	你不能進來。
Tom squeezed Mary's hand.	汤姆捏了玛丽的手。
I want something to drink now.	我現在想要喝點東西。
I don't believe that ghosts exist.	我不相信鬼魂存在。
It isn't possible to know everything.	全知是不可能的。
This is my problem.	这是我的问题。
The cat is not dead.	那猫没死。
The girl who works at the bakery is cute.	在面包房工作的姑娘很可爱。
You walk too fast for me to keep up with you.	你走得太快我跟不上。
I've just started playing tennis.	我剛開始打網球。
How are you going to get home?	你打算怎麼回家？
Do you have a smartphone?	你有手機嗎？
Cheese is made from milk.	奶酪是用奶做成的。
It is too expensive.	这太贵了。
She rides a motorcycle well.	她骑摩托车的技术不错！
I'm not a student.	我不是學生。
Let them decide.	讓他們決定。
The yacht sailed around a buoy.	游艇绕浮标航行。
They say that Tom won't do that.	大家不認為湯姆會做這種事。
Don't open your book.	不要打开你的书。
Tom appeared on television last night.	汤姆昨晚上电视了。
Someone smashed the windshield of my new car.	有人把我新车的挡风玻璃砸碎了。
Tom wasn't in Australia.	汤姆不在澳大利亚。
I'm so tired.	我好累啊。
I don't want to get out of bed today.	我今天不想起床。
Well, have you decided?	那麼, 你決定好了嗎?
Umbrellas sell well.	雨伞卖得好。
Africa is a continent, but Greenland isn't.	非洲是一個大陸, 而格陵蘭不是。
One hundred and fifty people entered the marathon race.	150个人参加了马拉松比赛。
This is my mother.	这是我母亲。
Although old, he is still very much alive.	虽然上了年纪,他依旧充满活力。
Did Tom show an interest?	汤姆感兴趣吗？
No problem.	没事。
Tom told Mary that he was going to kill himself, but he didn't have the courage to do it.	汤姆告诉玛丽他想要自杀，但他没有那么做的勇气。
He likes music very much.	他非常喜歡音樂。
We just need a plan.	我們只是需要個計畫。
My sister often cries.	我妹妹经常哭。
Bring it to me.	把它带给我。
Let's play basketball after school.	讓我們放學後打籃球。
English has become an international language.	英语成为了一门国际语言。
They come from the south of France.	他们是从法国南部来的。
Tom doesn't seem to be a Canadian.	湯姆看來不是加拿大人。
I trust him.	我信任他。
What time does your office let you go home?	你们一般几点下班？
I hate it when women say that all men are the same.	我很讨厌有女的说：“男人都一样”。
I like tennis very much.	我非常喜歡網球。
I really want to see you.	好想見到你
Are you ready to proceed?	准备好继续了吗？
I was the happiest man on earth.	我曾是世界上最幸福的男人。
These apples are rotten.	這些蘋果爛了。
I have a good appetite today.	我今天的食慾很好。
Sometimes I see him at the club.	我偶尔会在俱乐部碰到他。
Could you recommend another hotel?	你能推薦另一家旅館嗎？
He lives alone.	他独自生活。
Here is my baggage.	这是我的行李。
It's nearly six.	差不多六点了。
She finds it a little distasteful.	她发现这有点令她不快。
Don't trust anybody.	誰也不要相信。
You didn't come to school yesterday, did you?	你昨天沒來學校, 是嗎?
Tom had no reason to be angry.	汤姆没有动怒的理由。
What have you done with my pen? It was here a minute ago.	你把我的鋼筆怎麼了? 一分鐘前它還在這裡。
What is it?	它是什么？
I had difficulty working out the problem.	我在解決這個問題上有困難。
Tom is too old to work.	湯姆老得不能工作了。
The skies are clear.	天空很清朗。
He hasn't actually been to America.	他還沒有真正去過美國。
I am not happy.	我不高兴。
Tom will be released Monday.	湯姆將於週一釋放。
That is why he got angry.	那就是他生气的理由。
What's in the drawer?	抽屜裡面有什麼？
Spring is over, and summer has begun.	春天過去了, 夏天開始了。
He threw a stone at the big dog.	他朝着大狗扔了块石头。
Please don't tell your parents this.	请不要告诉你父母。
Do you know if my father is still in the office?	你知道我父親是否還在辦公室嗎？
Someone is calling you.	有人在叫你。
What time will you get to the station?	你几点会到车站？
I climbed in through the window.	我从窗口爬进来的。
She is absorbed in rock music.	她沉迷于摇滚乐。
Do you want to buy something?	你要买点东西吗？
I didn't expect to see you at a place like this.	我都没想过会在这里碰见你。
No one thinks Tom will win the race.	沒人認為湯姆賽跑會贏。
I think Tom's cheating.	我觉得汤姆有外遇。
In some countries, the punishment for treason can be life in prison.	在一些國家，叛國罪的懲罰可以是終身監禁。
I'm a student in a university.	我是个大学生。
How many pictures did you buy?	你買了多少張照片?
Mt. Fuji can be seen from here.	從這裡可以看到富士山。
May I have a talk with you?	我能和你谈谈吗？
I'll come as often as possible.	我會來盡可能常來。
I can't tolerate this noise any longer.	我不能再忍受這個噪音了。
I'll leave this work to you.	我會把這個工作留給你。
Aren't you cold?	你不冷吗？
Tom asked Mary who her boyfriend was.	汤姆问玛丽她的男朋友是谁。
I enjoyed watching TV yesterday.	昨天我很開心地看電視。
I feel much better today.	我今天感觉好多了。
Don't intrude on her privacy.	不要侵犯她的隐私。
Even with all his money, he's unhappy.	儘管他有那麼多錢，他並不快樂。
If there's anything urgent, you can get in touch with me.	紧急情况下，您可以联系我。
The secretary was dismissed.	秘书被炒了。
The cancer has spread to her stomach.	癌細胞已經擴散到她的胃。
You're very resourceful.	你鬼点子真多。
Your friend's very late, isn't he?	你的朋友來得很晚，不是麼？
I'm cold.	我冷。
There's nothing but milk in the fridge.	冰箱里只有牛奶哦。
Nobody knew what awaited us.	没人知道等待我们的是什么。
He used to be a nice boy.	他以前是個好男孩。
What do you have for breakfast?	你早餐吃什么？
The world is changing every minute.	世界每一分鐘都在改變。
He decided not to go to the party.	他決定不要去派對了。
Please wait for me at the entrance of the building.	请在建筑的入口处等我。
The two teams fought very hard.	两队打了场硬仗。
How many bowls do we have?	我们有几个碗？
Did Tom tell you it was an emergency?	你告诉汤姆那是紧急情况了吗？
I'm tired of eating fast food.	我受够吃快餐了。
I'm a little taller than you.	我比你高一点。
My father graduated from Harvard University.	我爸爸是哈佛大学毕业的。
I don't want to talk about this.	我不想谈论这个问题。
Tom hasn't said a word all morning.	汤姆整整一个上午一句话也没说。
Tom hid himself under the table.	Tom躲在桌子底下。
Would you like to go to the zoo this afternoon?	你今天下午想不想去动物园？
Doesn't Tom go to Australia every month?	汤姆不是每个月都去澳大利亚吗？
Where does she live now?	她现在住在哪儿？
Tom bent down and picked up a handful of sand.	汤姆弯下腰，捧起了一把沙子。
Can I eat this?	我可以吃这个吗?
You're a good painter, aren't you?	你是個很棒的畫家，不是嗎？
There is no admission fee for children under five.	五岁以下的小孩票价全免。
The tire leaks air.	轮胎漏气了。
Get off my lawn.	滚出我的草坪！
You may choose whichever book you like.	你可以選擇任何你喜歡的書。
Did you know that some foxes lived on this mountain?	你知道有些狐狸住在這座山上嗎?
Pride goes before a fall.	骄傲是失败的先行者。
The future looked very gloomy.	前途一片阴暗。
I can't find my shoes.	我找不到我的鞋子。
All the desk drawers were empty.	所有的办公桌抽屉都是空的。
I will ask him tomorrow.	明天我会问他的。
Peel the apples.	將蘋果削皮。
You can't fire us.	您不能炒了我们。
Why is change so hard?	為什麼改變那麼難？
Why did we fail?	我們爲什麼失敗了？
You can lie to everyone else, but you can't lie to yourself.	你可以向别人撒谎，但你不会向自己撒谎。
Several dozen young people participated in the demonstration.	几十个年轻人参加了示威游行。
Our school is near the station.	我們學校在車站的附近。
This isn't an eagle.	这不是一只鹰。
She lost her father when she was three years old.	她父亲在她三岁时死了。
We met at two in the afternoon.	我們今天下午兩點見得面。
Where's my apple juice?	我的蘋果汁在哪?
I don't know why you don't like Tom.	我不知道你不喜欢汤姆的理由。
I want another slice of bread.	我要另一片面包。
Kyoto is famous for its old temples.	京都以古廟有名。
A big tree fell in the storm.	一棵大樹在暴風中倒下。
She drew out the money from the bank.	她从银行取了钱。
He is lacking in experience.	他缺乏經驗。
He's rich, but he's not happy.	他很有钱，但不幸福。
I don't mean to brag.	我不想吹牛。
Let me buy you another one.	我给你再买一个吧。
Tom is a clever kid.	汤姆是聪明的孩子。
By the way, did you hear that Mary quit her job?	话说，你听说玛丽辞职了吗？
He ignored his father's advice.	他不顧他父親的忠告。
This laboratory is equipped with the latest computers.	这个实验室配备了最新的计算机。
He is afraid of snakes.	他害怕蛇。
Which do you enjoy more, ice skating or roller skating?	你更喜歡滑冰還是輪滑？
Do you have change for a dollar?	你有零錢換一元美金嗎？
How can Tom not understand that?	湯姆怎麼能不懂？
Are you still winning?	你還在贏嗎？
My mother looks young for her age.	从她的年龄看来，我妈妈很年轻。
I don't feel like studying today in this heat.	今天太热了，我没心情学习。
I want to talk to your boss.	我想跟你老板谈。
Permit me to do that for you.	请允许我为你做。
Come out here. I need help.	出来，我需要帮助。
The young girl burst into tears.	這個年輕的女孩淚流滿面。
Please come. I really want to meet you.	快來吧，我真的很想見你們。
Please speak more loudly.	請說更大聲一點。
Sit down.	请坐。
You have such beautiful, hazel eyes.	你有如此美麗的淡褐色眼睛。
Where's your brother?	你的哥哥在哪里?
You'll need their help.	你會需要他們的幫助。
I should be happy.	我該高興。
That shop sells newspapers and magazines.	那家店卖报纸和杂志。
I think that Tom should go on a diet.	我觉得汤姆需要减肥了。
The school will provide tents for us.	学校会提供帐篷给我们。
He painted his bicycle red.	他把他的自行车刷成红色。
Tom bought some apples.	湯姆買了一些蘋果。
He has no eye for women.	他對女人沒有眼光。
She picked flowers in the garden.	她在花園裡摘花。
Start now.	馬上開始。
I don't think it's good.	我不觉得它很好。
Which book is yours?	哪本是您的書？
Have you finished writing your thesis?	你的论文写完了吗？
This is not a sentence.	這不是一個句子。
It's so boring.	真的很无聊。
I can't distinguish a frog from a toad.	我无法区分青蛙和蟾蜍。
I worked on the farm all day.	我整天在農場上工作。
Clearly you are mistaken.	顯然的，你錯了。
The fuel tank in the car is full.	汽車油箱是滿的。
Do you know anyone who's been to Australia?	你知道谁去过澳大利亚的吗？
There is no salt left.	盐没了。
This is surprising.	這是令人吃驚的。
I'm afraid that I must say goodbye.	恐怕我必須說再見了。
Tickets are on sale now.	现在售票。
I know both of Tom's sisters.	我认识汤姆的两姐妹。
I washed the dishes after supper.	晚饭后我洗了餐具。
I'm taking Mary out to dinner tonight.	我今晚带玛丽出去吃饭。
I can drive a car.	我会开车。
I had an asthma attack.	我哮喘发作了。
What does this word mean?	这个词是什么意思？
Keep on smiling.	保持微笑。
The Japanese military forces seemed too strong to stop.	日本军队看来强大得不可阻挡。
I'll deal with this problem as soon as I can.	我会尽快处理这问题。
What's the weather like today?	今天天气怎么样？
I had a strange dream.	我做了一个奇怪的梦。
The design itself is flawed.	設計本身有問題。
Fools rush in where angels fear to tread.	初生之犢不畏虎。
I was wrong.	我想错了。
I am expecting a letter from her.	我期待她的來信。
What exactly happened to you?	你到底怎么回事啊？
Beauty is only skin deep.	美貌只是表面性的东西。
I live on a farm not too far from Boston.	我住在离波士顿不远的一个农场。
Let's take the children to the zoo.	讓我們帶孩子們去動物園。
I almost left my umbrella in the train.	我幾乎把我的雨傘忘在火車上。
Every morning she helps her mother to prepare breakfast in the kitchen.	她每天早上都帮母亲在厨房准备早餐。
There's still blood on the wall.	墙上还是有血。
Don't put books on the table.	不要把書放在那張桌子上。
Is there a post office near here?	這附近有郵局嗎?
Please sit on the sofa and relax.	請坐在沙發上放輕鬆。
The house burned to the ground before the fire truck arrived.	消防车到达之前，房子就全烧了。
Do you want something to drink?	你想要什么喝的吗？
Choose whichever you like.	選你喜歡的。
This is a very tall tree.	這是棵很高的樹。
Don't be too sensitive to criticism.	不要对批评太敏感了。
Did you really mean to say that?	你真的是想那麼說嗎？
Are both Tom and Mary Canadians?	湯姆和瑪麗都是加拿大人嗎？
He rested for a while.	他休息了一会儿。
People have two legs.	人有两只脚。
Everything looked nice.	一切看起來都很棒。
Where's my father?	我父亲在哪里？
Tom can't walk.	汤姆不能走路了。
Tom is wearing the same clothes that he wore yesterday.	湯姆穿著昨天穿的衣服。
I'm a student.	我是个学生。
The President refused to answer the question.	总统拒绝回答那个问题。
Where's the nearest travel agency?	最近的旅行社在哪裡？
This may take a while.	这要花时间。
I'm a man.	我是个男人。
Tom is drinking apple juice.	Tom正在喝蘋果汁。
We can't force people to do that.	我們不能強迫人去做。
What would you like for supper?	你晚餐想吃什麼?
I'll square things with you later.	待会我再和你谈谈。
Tom didn't think that anybody would recognize Mary.	汤姆不认为有人会认出玛丽。
There's no use crying over spilt milk.	覆水難收。
Tom doesn't have a fever.	汤姆没有发烧。
You may leave your bag here.	你可以把你的袋子留在這裡。
I'm the last one who saw Tom.	我是最后一个见过汤姆的人。
He takes a bath every morning.	他每天早上洗澡。
How about going out for a walk?	出去散步怎麼樣？
Tom was sobbing.	汤姆在啜泣。
Life has been very hard.	生活很艰苦。
He plays baseball every day.	他每天都打垒球。
Please close the door.	請關上門。
Don't forget to take a camera with you.	别忘了带个相机。
There are three empty rooms. However, we can't use any of them.	虽然有三间空屋，但哪间都用不了。
It's difficult for me to understand French when it's spoken quickly.	法语说得快，我就难以理解。
Tom got to Boston yesterday.	湯姆昨天到波士頓了。
Haven't you noticed?	你没注意到吗？
Nobody gave us a chance.	没人给我们机会。
On my way home, I met him.	我在回家的路上遇見了他。
Where's your mom?	你妈妈呢？
Tom doesn't need to wear glasses anymore.	汤姆不需要再戴眼镜了。
I dislike big cities.	我不喜歡大城市。
You don't understand.	你不懂。
You can come in.	你可以進來。
Leave me alone.	让我一个人待着。
I gave Tom a going-away present.	我送给汤姆一份临别礼物
Keep off the grass.	不要踩草地。
I should have taken the money.	我應該拿那些錢的。
Mary is a wonderful woman.	玛丽是个了不起的女人。
I just want to find out what happened.	我只想弄清楚发生了什么。
Man is the only animal that can speak.	人是唯一会说话的动物。
You'd better go home at once.	你最好立刻回家。
I expect a lot from him.	我對他期望很高。
Give this book to whoever wants it.	把這本書給想要的人。
She plays the violin very well.	她小提琴演奏得非常好。
I bought a newspaper written in English.	我买了份英文写的报纸。
Your cat scratched me.	你的猫抓伤我了。
The door locks automatically.	門自動上鎖。
Tom was sick last week.	湯姆上週生病了。
She gave him the car.	她给了他车。
It's amazing.	太神奇了。
Can I take a picture here?	这里允许拍照吗？
I'm chewing gum.	我嚼口香糖。
You should know this.	你該知道這事。
We're on the third floor.	我们在三楼。
Everybody applauded.	眾人鼓掌。
Your plan sounds great.	你的計劃聽起來很不錯。
No more, thank you. I'm full.	不，谢谢，我饱了。
That's what I hope.	我希望如此。
I heard Tom was captured.	我听说汤姆被捕了。
Can you speak English?	你們會說英語嗎？
Thirteen percent were opposed.	13% 表示反對。
How do you say this word?	你们怎么读这个词？
Let's go and swim in the river.	讓我們去河裡游泳吧。
No one can deny the fact.	誰也不能否定其事實。
Christmas is soon, isn't it?	聖誕節很快就到了，不是嗎？
It's hot today, isn't it?	今天很熱，不是嗎?
Please give me some advice on what I should do.	请给我提提建议，我该做什么。
He is old enough to drive.	他夠開車的年紀了。
I have an umbrella in my car.	我的车里有伞。
He could not answer that question.	他無法回答這個問題。
The accident took place at that corner.	事故發生在轉角。
Do you eat meat?	您吃不吃肉？
They rescued the boy from drowning.	他們救了這個落水的男孩。
He was drowned.	他被淹死了。
Do you have a larger size?	你有比較大的尺寸嗎？
Do you know how to drive a car?	您会开车吗？
Politicians never tell us their inner thoughts.	政治家从来不告诉我们他们的别有用心。
I'm not accustomed to getting up early.	我不習慣早起。
Please let us know.	請讓我們知道。
I'll get off at the next station.	我下一站下车。
There are too many things to do!	要做的事太多了!
They had a rest for a while.	他們休息了一會兒。
What's your favorite movie?	你最喜歡的電影是哪部？
She put the magazine on the table.	她把雜誌放在桌上。
French isn't difficult to learn.	法文不難學。
Who betrayed us?	誰背叛我們？
I understand perfectly.	我完全明白。
She speaks a little Arabic.	她说一点阿拉伯语。
There's an urgent need for medical supplies.	急需醫療用品。
I had a funny dream last night.	我昨晚做了一個有趣的夢。
The old man walked with a stick.	這個老人拄著一根拐杖走路。
She cooked herself a good meal.	她為自己煮了好吃的一餐。
She wrote a book about birds.	她寫了一本關於鳥類的書。
I think it's OK.	我想沒關係。
He is telling a lie.	他說謊。
Thanks to your recommendation, Tom got that job.	多亏了你的推荐，汤姆得到了那份工作。
I went to the park last Sunday.	上個星期天我去了公園。
The flowers cheered her up.	那些花兒安慰了她。
Are you tired?	你覺得累嗎？
Everyone except Tom knew that he didn't need to do that.	除了汤姆以外任何人都知道他没必要这么做。
All of you are familiar with the truth of the story.	你們所有的人都熟悉這個故事的真相。
There is an apple under the desk.	写字台下是一只苹果。
It's already 11.	已经是11点了。
I couldn't let it go.	我放不下。
You don't have to go to school on Sunday.	你没必要周日去上学。
Tom wants to sit down.	汤姆想坐下。
Do you go to school by bus?	你搭公車上下學嗎？
What do you think of this plan?	你覺得這個計畫如何?
Did you tell Tom about your problems?	你告訴湯姆你的問題了嗎？
Can you come on Sunday evening?	你周日晚上能来吗？
It never hurts to ask.	問問總是沒有壞處的。
He was happy at the news of her success.	听到她成功的消息，他很高兴。
Tom doesn't drive as carefully as I do.	汤姆不像我这样开车小心。
I don't want to miss my train.	我不想错过我的火车。
I prefer cats to dogs.	較之于狗，我更喜欢猫。
She always speaks in a low voice.	她總是低聲地說話。
There was no one in the room besides Tom and Mary.	除了汤姆和玛丽，房间里没有人。
I've climbed Mt. Fuji twice.	我爬過兩次富士山。
I knew Tom didn't know that we were the ones who had done that.	我知道湯姆不知道那件事是我們做的。
She succeeded in getting him to tell the truth.	她成功地从他口中得知了真相。
Who did you get this from?	这从谁那儿拿的？
I've seen Tom naked.	我见过汤姆光着。
She broke the window on purpose.	她故意把窗戶弄壞了。
It's four o'clock by my watch.	我表上是4点。
Something must be done!	必須採取一些行動了！
I can't remember.	我記不得了。
They hugged.	他们拥抱。
How unfortunate!	可憐!
Water boils at 100 degrees.	水在攝氏100度沸騰。
He is a student at a high school.	他是一名高中學生。
That really whets my appetite.	那很開胃。
My wallet and passport are missing.	我的錢包和護照不見了。
I will follow you wherever you go.	無論你去哪裡我都會跟著你。
The patient is steadily recovering.	這個病人正在穩定地康復中。
Do you have any Japanese beer?	您有日本啤酒吗？
The students are in the classroom.	学生们在教室里。
Are you crying?	你在哭嗎？
Take it easy.	別緊張。
I know that Tom knows that Mary probably won't want to do that anymore.	我確定湯姆知道瑪麗可能不再這樣做了。
I am very, very sorry.	我非常，非常抱歉。
Tom said Mary was sleeping.	汤姆说玛丽在睡觉。
Why don't you be quiet?	你爲什麼不安靜？
What do the initials NTT stand for?	NTT這個縮寫是什麼意思？
I want to become an engineer.	我想要成為一位工程師。
Stop pretending that everything's okay. It's not.	不要再假装一切都好了，不是这样的！
Do you drink green tea?	您喝绿茶吗？
Tom continued his investigation.	湯姆繼續他的調查。
You're taller than me.	你們比我還高。
I believe you are honest.	我相信你是诚实的。
I like your room.	我喜欢你的房间。
Their friendship moved us deeply.	他们的友情深深地感动了我们。
Tom has been very careful.	汤姆非常谨慎。
He compared the copy with the original.	他比较了复印稿和原件。
You guys are right.	你們說得對。
I was in the bathroom.	我当时在卫生间。
The weather report says we'll get three inches of snow.	天气预报说会下三英寸雪。
Did you visit the Tokyo Tower?	您参观过东京塔吗？
Are you feeling under the weather?	你感觉不舒服吗？
It exploded with a loud noise.	它發出巨響爆炸了。
Sweet dreams!	祝你好梦。
Well, the night is quite long, isn't it?	夜晚很长，不是吗？
She dived into the swimming pool.	她跳入了游泳池。
How do I get to the police?	我怎么去警察局？
Although it is snowing, I must go.	虽然正在下雪，但是我也非去不可。
It's nice to have friends.	有朋友真好。
Why don't we go home?	我们何不回家呢？
I saw it in the newspaper.	我是在报纸上看到它的。
Thank you for the advice.	谢谢你的建议。
We work in a factory.	我们在一个工厂工作。
You're lying, aren't you?	你在撒謊，不是嗎？
He's often mistaken for a student.	他常常被誤認為是個學生。
All aboard!	请上船！
I am disgusted with him.	我厌恶他。
I think that Tom is lying.	我覺得湯姆說謊。
Will you help me give out the programs to those people?	你能帮我给这些人分发节目单吗？
He sketched an apple.	他畫了一張蘋果素描。
Could you call a doctor, please?	你能請個醫生來嗎？
This boy is lazy.	这个男孩子很懒。
I am a student in a university.	我是一名大学生。
It might snow tomorrow.	明天可能會下雪。
I need a Japanese-English dictionary.	我需要一本日英字典。
She tried.	她试过了。
I'll show you around the town.	我會帶你逛逛這個鎮。
After running up the hill, I was completely out of breath.	跑上山後，我完全喘不過氣來。
The law is quite clear.	法律很清楚。
He often takes me for a drive.	他常常載我去兜風。
Tom says that Mary definitely won't accept the job.	湯姆說瑪麗絕不會接受這工作。
That's my theory.	我的理論是這樣。
Will you please turn down the radio?	請你把收音機關小聲一點好嗎？
I'm going to learn French.	我要学法语。
He was sitting up straight.	他坐直了。
She didn't like her husband drunk.	她不喜欢让自己丈夫喝醉。
Prices are double what they were ten years ago.	价钱是10年前的2倍。
I was surprised by his perseverance.	我对他的坚持感到很惊讶。
I drank a cup of water.	我喝了一杯水。
Japan imports various raw materials from abroad.	日本從國外進口各種原料。
At that time, Tom was sitting between Mary and John.	在那个时候，汤姆正坐在玛丽和约翰中间。
I had a happy childhood.	我的童年很快乐。
As soon as she wakes up, we'll turn on the music.	她一醒，我们就放音乐。
I can't accept this gift.	我不能收这份礼。
The train is here.	這班火車已經到了。
I found the secret compartment quite by accident.	我完全是在偶然的情况下发现了密室。
Tom saw everything that happened.	汤姆见证了所有发生的事情。
English has now become the common language of several nations in the world.	英语现已成为世界上许多国家的通用语言了。
We ran short of money.	我们缺钱了。
I beg your pardon?	不好意思，能请您重复一遍吗？
I'd like to pay with a credit card.	我想用信用卡支付。
In comparison with Tokyo, London is small.	和东京比，伦敦很小。
Will you take a personal check?	你收私人支票嗎?
It might rain.	可能会下雨。
Don't come into my room.	別進我的房間。
Keep quiet.	保持安静！
I don't need to wait.	我無需等待。
He was caught cheating in the exam.	他在考試中作弊時被抓到了。
I want to know how long it'll take.	我想知道这需要用多久时间。
We sometimes make mistakes.	有时我们会犯错。
You are a friend of Tom's, aren't you?	你是湯姆的一個朋友，不是嗎？
This fish isn't fit to eat.	这条鱼不能吃了。
Her house is at the foot of a mountain.	她家在一座山的山脚下。
Let him play your guitar.	讓他彈你的吉他。
The old man passed away this morning.	老人今天早上去世了。
As I missed the train, I had to wait for the next one for about an hour.	由于错过了火车，我不得不等下一班等一小时。
I don't quite follow you.	我聽不太懂你的意思。
I like to study foreign languages.	我喜欢学习外语。
Follow me.	请跟我来。
They work for me.	他们为我工作。
I'll attend.	我會參加。
Please let me know what you want.	請讓我知道你要什麼。
The company abandoned that project.	公司放弃了那个项目。
Eat a live frog every morning, and nothing worse will happen to you the rest of the day.	每天早上吃一隻活青蛙, 那麼你一天中其他的時間就不會發生什麼更糟糕的事了。
I explained the process to him.	我向他解釋了這個過程。
What did you have for lunch?	你们午饭吃了什么？
How much do I owe you?	我欠您多少？
I want to know why Tom wants us to do that.	我想知道汤姆为什么要我们那样做。
I can't bear the pain.	我無法忍受這個痛苦。
